song_id;title;title_with_featured;primary_artist_id;primary_artist_name;url
2937507;100;100;430404;21 Savage;https://genius.com/21-savage-100-lyrics
2377682;12 AM;12 AM;430404;21 Savage;https://genius.com/21-savage-12-am-lyrics
2845340;150;150 (Ft. 21 Savage);22437;Young Dolph;https://genius.com/Young-dolph-150-lyrics
3202559;16Koinz Theme Song;16Koinz Theme Song;1199643;16KoinzBry;https://genius.com/16koinzbry-16koinz-theme-song-lyrics
3667387;1Night;1Night (Ft. 21 Savage, Murda Beatz & PARTYNEXTDOOR);27578;Stargate;https://genius.com/Stargate-1night-lyrics
2876475;21 Guns;21 Guns (Ft. 21 Savage);17862;Skooly;https://genius.com/Skooly-21-guns-lyrics
2947178;21 Savage (Intro);21 Savage (Intro) (Ft. 21 Savage);991980;No Plug;https://genius.com/No-plug-21-savage-intro-lyrics
3682379;21 Savage & Metro Boomin - No Heart [Polskie Tłumaczenie];21 Savage & Metro Boomin - No Heart [Polskie Tłumaczenie] (Ft. 21 Savage);161407;RGPolska Tłumaczenia;https://genius.com/Rgpolska-tumaczenia-21-savage-and-metro-boomin-no-heart-polskie-tumaczenie-lyrics
2472591;21 Way (Freestyle);21 Way (Freestyle);430404;21 Savage;https://genius.com/21-savage-21-way-freestyle-lyrics
3874692;2 Seater;2 Seater (Ft. 21 Savage & Quavo);13953;DJ Holiday;https://genius.com/Dj-holiday-2-seater-lyrics
3639791;4 5 (Remix);4 5 (Remix) (Ft. 21 Savage);1311660;Don Ace;https://genius.com/Don-ace-4-5-remix-lyrics
2982283;4hunna mixtape;4hunna mixtape (Ft. 21 Savage);1073143;Young mikemike20;https://genius.com/Young-mikemike20-4hunna-mixtape-lyrics
3122882;7 Min Freestyle;7 Min Freestyle;430404;21 Savage;https://genius.com/21-savage-7-min-freestyle-lyrics
2333366;Air It Out;Air It Out;993648;21 Savage & Young Nudy;https://genius.com/21-savage-and-young-nudy-air-it-out-lyrics
3291781;All I Know;All I Know (Ft. JayDaKid);1247671;Yamine & Young Trap;https://genius.com/Yamine-and-young-trap-all-i-know-lyrics
3073772;All The Smoke;All The Smoke;430404;21 Savage;https://genius.com/21-savage-all-the-smoke-lyrics
3915350;A new dimension;A new dimension (Ft. 21 Savage, Big Sean & Future);1088710;DJ Forgotten;https://genius.com/Dj-forgotten-a-new-dimension-lyrics
3878452;Another Body*;Another Body*;430404;21 Savage;https://genius.com/21-savage-another-body-lyrics
3019729;A Savage;A Savage (Ft. 21 Savage);991980;No Plug;https://genius.com/No-plug-a-savage-lyrics
3859680;Ass Thang;Ass Thang;430404;21 Savage;https://genius.com/21-savage-ass-thang-lyrics
3287238;Baby Choppa*;Baby Choppa*;430404;21 Savage;https://genius.com/21-savage-baby-choppa-lyrics
3147477;Baby Girl;Baby Girl;430404;21 Savage;https://genius.com/21-savage-baby-girl-lyrics
3139075;Backpack*;Backpack*;430404;21 Savage;https://genius.com/21-savage-backpack-lyrics
2874273;Back Started;Back Started;430404;21 Savage;https://genius.com/21-savage-back-started-lyrics
3147476;Bad Business;Bad Business;430404;21 Savage;https://genius.com/21-savage-bad-business-lyrics
2820857;Bad Guy;Bad Guy;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-bad-guy-lyrics
3035839;Bad Guy;Bad Guy (Ft. 21 Savage);1108437;Notoriou5 Bino;https://genius.com/Notoriou5-bino-bad-guy-lyrics
3541221;Bad Guy;Bad Guy (Ft. 21 Savage & Notoriou5 Bino);1400247;24 Flakko;https://genius.com/24-flakko-bad-guy-lyrics
3610577;Bank Account;Bank Account (Ft. NøtInVain);1307580;Challenge;https://genius.com/Challenge-bank-account-lyrics
3355248;Bank Account;Bank Account;4;Lil Wayne;https://genius.com/Lil-wayne-bank-account-lyrics
3138854;Bank Account;Bank Account;430404;21 Savage;https://genius.com/21-savage-bank-account-lyrics
3379255;Bank Account (Remix);Bank Account (Remix);345077;Joyner Lucas;https://genius.com/Joyner-lucas-bank-account-remix-lyrics
3376846;Bank Account (Remix);Bank Account (Remix);640;King Los;https://genius.com/King-los-bank-account-remix-lyrics
3618420;Bank Account (Remix);Bank Account (Remix) (Ft. BryanAA);1433111;Breydawg;https://genius.com/Breydawg-bank-account-remix-lyrics
3505338;Bank Account (Remix) [Extended Version];Bank Account (Remix) [Extended Version];1126949;NøtInVain;https://genius.com/Ntinvain-bank-account-remix-extended-version-lyrics
3040927;Bankroll;Bankroll (Ft. 21 Savage & 2 Chainz);2197;Future;https://genius.com/Future-bankroll-lyrics
3344378;Bartier Cardi;Bartier Cardi (Ft. 21 Savage);621678;Cardi B;https://genius.com/Cardi-b-bartier-cardi-lyrics
3468893;BBO (Bad Bitches Only);BBO (Bad Bitches Only) (Ft. 21 Savage);44080;Migos;https://genius.com/Migos-bbo-bad-bitches-only-lyrics
3130602;Between Us (Remix);Between Us (Remix) (Ft. 21 Savage);321060;TYuS;https://genius.com/Tyus-between-us-remix-lyrics
2421000;Bitch Nigga;Bitch Nigga;430404;21 Savage;https://genius.com/21-savage-bitch-nigga-lyrics
2893975;Black KKK;Black KKK (Ft. 21 Savage);98429;Big Flock;https://genius.com/Big-flock-black-kkk-lyrics
3113956;Boomin';Boomin';430404;21 Savage;https://genius.com/21-savage-boomin-lyrics
3164200;Both Sides;Both Sides (Ft. 21 Savage);1056415;NAV & Metro Boomin;https://genius.com/Nav-and-metro-boomin-both-sides-lyrics
3269537;Broke Bitch;Broke Bitch (Ft. 21 Savage);1045132;Yamine;https://genius.com/Yamine-broke-bitch-lyrics
2898815;Bullshit;Bullshit (Ft. 21 Savage);21982;Dae Dae;https://genius.com/Dae-dae-bullshit-lyrics
3377461;Chill Pill;Chill Pill (Ft. 21 Savage);1140613;A1Billionaire;https://genius.com/A1billionaire-chill-pill-lyrics
3147475;Close My Eyes;Close My Eyes;430404;21 Savage;https://genius.com/21-savage-close-my-eyes-lyrics
3695806;Clout;Clout (Ft. 21 Savage);25005;Ty Dolla $ign;https://genius.com/Ty-dolla-sign-clout-lyrics
3520511;Cocky;Cocky;1387709;A$AP Rocky, Gucci Mane and 21 Savage;https://genius.com/A-ap-rocky-gucci-mane-and-21-savage-cocky-lyrics
3146595;Coocoo*;Coocoo*;430404;21 Savage;https://genius.com/21-savage-coocoo-lyrics
3310504;Crisis;Crisis (Ft. 21 Savage);566912;Rich Brian;https://genius.com/Rich-brian-crisis-lyrics
3296803;Darth Vader;Darth Vader;1249916;21 Savage, Offset, & Metro Boomin;https://genius.com/21-savage-offset-and-metro-boomin-darth-vader-lyrics
3147525;Dead People;Dead People;430404;21 Savage;https://genius.com/21-savage-dead-people-lyrics
3553254;Deal;Deal (Ft. 21 Savage);8805;Casino;https://genius.com/Casino-deal-lyrics
2444416;Deserve;Deserve;430404;21 Savage;https://genius.com/21-savage-deserve-lyrics
3398679;Designer;Designer;1300831;Ra$ke Gutter;https://genius.com/Ra-ke-gutter-designer-lyrics
3398808;Designer;Designer;1300878;RaskeGutterOfficial;https://genius.com/Raskegutterofficial-designer-lyrics
3398765;Designer På Min Fot;Designer På Min Fot;1300831;Ra$ke Gutter;https://genius.com/Ra-ke-gutter-designer-pa-min-fot-lyrics
2862653;Did Dat;Did Dat (Ft. 1200 Yak & 21 Savage);1000140;MobSquad Nard;https://genius.com/Mobsquad-nard-did-dat-lyrics
2407042;Dip Dip;Dip Dip;430404;21 Savage;https://genius.com/21-savage-dip-dip-lyrics
2384389;Dirty K;Dirty K (Ft. Lotto Savage);430404;21 Savage;https://genius.com/21-savage-dirty-k-lyrics
3296800;Disrespectful;Disrespectful;1249916;21 Savage, Offset, & Metro Boomin;https://genius.com/21-savage-offset-and-metro-boomin-disrespectful-lyrics
3206402;Don't Play;Don't Play (Ft. 21 Savage);991980;No Plug;https://genius.com/No-plug-dont-play-lyrics
2896631;Down;Down (Ft. 21 Savage & Tone Tone);13;Gucci Mane;https://genius.com/Gucci-mane-down-lyrics
2347662;Drinkin And Driving;Drinkin And Driving;430404;21 Savage;https://genius.com/21-savage-drinkin-and-driving-lyrics
2347009;Drip;Drip;430404;21 Savage;https://genius.com/21-savage-drip-lyrics
2479768;Drippin;Drippin (Ft. 21 Savage & Sauce Walka);610968;Lil Yachty;https://genius.com/Lil-yachty-drippin-lyrics
2999272;EA;EA (Ft. 21 Savage);640658;Young Nudy;https://genius.com/Young-nudy-ea-lyrics
3061270;East Atlanta Day;East Atlanta Day (Ft. 21 Savage & Gucci Mane);27822;Zaytoven;https://genius.com/Zaytoven-east-atlanta-day-lyrics
3245783;Everything About You;Everything About You (Ft. 21 Savage, Chris Brown, Jeezy, Tyga & Yamine);158;DJ Khaled;https://genius.com/Dj-khaled-everything-about-you-annotated
2857898;Extendo;Extendo;430404;21 Savage;https://genius.com/21-savage-extendo-lyrics
2845688;Extortion;Extortion (Ft. 21 Savage);994553;Loso Loaded;https://genius.com/Loso-loaded-extortion-lyrics
3147489;FaceTime;FaceTime;430404;21 Savage;https://genius.com/21-savage-facetime-lyrics
2885596;Faded;Faded (Ft. 21 Savage);1154439;$hang (Rapper);https://genius.com/Hang-rapper-faded-lyrics
3878788;Family;Family;430404;21 Savage;https://genius.com/21-savage-family-lyrics
3147473;Famous;Famous;430404;21 Savage;https://genius.com/21-savage-famous-lyrics
2820797;Feel It;Feel It;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-feel-it-lyrics
2515337;F It Up;F It Up (Ft. 21 Savage & Reese LAFLARE);670568;Bricc Baby;https://genius.com/Bricc-baby-f-it-up-lyrics
3007652;F It Up (Remix);F It Up (Remix) (Ft. 21 Savage, Kid Ink & Reese LAFLARE);670568;Bricc Baby;https://genius.com/Bricc-baby-f-it-up-remix-lyrics
3594830;Flexin' (feat. 21 Savage) - FULL SONG;Flexin' (feat. 21 Savage) - FULL SONG (Ft. 21 Savage);65109;Rich The Kid;https://genius.com/Rich-the-kid-flexin-feat-21-savage-full-song-lyrics
2830925;Flexing On Purpose;Flexing On Purpose (Ft. 21 Savage, Lil Uzi Vert & Young Thug);3261;Ralo;https://genius.com/Ralo-flexing-on-purpose-lyrics
3402386;Flexin' [Snippet];Flexin' [Snippet] (Ft. Rich The Kid);430404;21 Savage;https://genius.com/21-savage-flexin-snippet-lyrics
2293672;FNB (Fuckin Niggaz Bitches);FNB (Fuckin Niggaz Bitches);430404;21 Savage;https://genius.com/21-savage-fnb-fuckin-niggaz-bitches-lyrics
2459294;Free Gucci;Free Gucci;430404;21 Savage;https://genius.com/21-savage-free-gucci-lyrics
2926360;Free Guwop Ep [Tracklist + Cover Art];Free Guwop Ep [Tracklist + Cover Art];430404;21 Savage;https://genius.com/21-savage-free-guwop-ep-tracklist-cover-art-annotated
2390679;Front Door;Front Door;430404;21 Savage;https://genius.com/21-savage-front-door-lyrics
3878794;Fuck You Mean;Fuck You Mean;430404;21 Savage;https://genius.com/21-savage-fuck-you-mean-lyrics
2849473;Fuck Your Rollie;Fuck Your Rollie (Ft. 21 Savage);618204;DJ Nick;https://genius.com/Dj-nick-fuck-your-rollie-lyrics
2442069;Gang;Gang;430404;21 Savage;https://genius.com/21-savage-gang-lyrics
3801146;Gang shit;Gang shit;430404;21 Savage;https://genius.com/21-savage-gang-shit-lyrics
3296791;Ghostface Killers;Ghostface Killers (Ft. Travis Scott);1249916;21 Savage, Offset, & Metro Boomin;https://genius.com/21-savage-offset-and-metro-boomin-ghostface-killers-lyrics
2315369;Girls;Girls (Ft. 21 Savage & Tray Savage);570053;Lil E (GBE);https://genius.com/Lil-e-gbe-girls-lyrics
2990683;Go To War;Go To War (Ft. 21 Savage);1078375;Yung D.I.;https://genius.com/Yung-di-go-to-war-lyrics
2845921;GUAP;GUAP (Ft. 21 Savage);610968;Lil Yachty;https://genius.com/Lil-yachty-guap-lyrics
3610872;Gucci Gang (BIG  Remix);Gucci Gang (BIG  Remix) (Ft. 21 Savage, B In$ta G, French Montana, Gucci Mane, PsychoPieO & Remy Ma);654932;Lil Pump;https://genius.com/Lil-pump-gucci-gang-big-remix-lyrics
3594336;Gucci Gang (English Remix);Gucci Gang (English Remix) (Ft. 21 Savage, French Montana & Gucci Mane);654932;Lil Pump;https://genius.com/Lil-pump-gucci-gang-english-remix-lyrics
3587995;Gucci Gang (Mega Remix);Gucci Gang (Mega Remix) (Ft. 21 Savage, Bad Bunny, French Montana, Gucci Mane, J Balvin, Ozuna & Remy Ma);654932;Lil Pump;https://genius.com/Lil-pump-gucci-gang-mega-remix-lyrics
3594338;Gucci Gang (Spanish Remix);Gucci Gang (Spanish Remix) (Ft. Bad Bunny, J Balvin & Ozuna);654932;Lil Pump;https://genius.com/Lil-pump-gucci-gang-spanish-remix-lyrics
3008300;Gucci On My;Gucci On My (Ft. 21 Savage, Migos & YG);29978;Mike WiLL Made-It;https://genius.com/Mike-will-made-it-gucci-on-my-lyrics
2251254;H2O;H2O;430404;21 Savage;https://genius.com/21-savage-h2o-lyrics
3725020;Haters hating;Haters hating (Ft. 21 Savage & PnB Rock);1476835;PnB Rock,21 savage,migos;https://genius.com/Pnb-rock21-savagemigos-haters-hating-lyrics
2434203;Havoc;Havoc;430404;21 Savage;https://genius.com/21-savage-havoc-lyrics
2888019;Head;Head (Ft. 21 Savage & Bulletproof Dolphin);197708;Nick Hook;https://genius.com/Nick-hook-head-lyrics
2842219;Heart So Cold;Heart So Cold (Ft. Freaky D$MG);430404;21 Savage;https://genius.com/21-savage-heart-so-cold-lyrics
2460658;Help Me;Help Me;430404;21 Savage;https://genius.com/21-savage-help-me-lyrics
3672830;Hide and Seek;Hide and Seek (Ft. 21 Savage);324420;Jusglo;https://genius.com/Jusglo-hide-and-seek-lyrics
3178560;Hoe;Hoe (Ft. Savon12k);1152372;Eduxr;https://genius.com/Eduxr-hoe-lyrics
3664990;Hold Up;Hold Up;430404;21 Savage;https://genius.com/21-savage-hold-up-lyrics
2860154;Hollow Tips (Freestyle);Hollow Tips (Freestyle);430404;21 Savage;https://genius.com/21-savage-hollow-tips-freestyle-lyrics
3376201;Hot Spot;Hot Spot (Ft. 21 Savage);88813;Offset;https://genius.com/Offset-hot-spot-lyrics
3784571;How I Grew Up;How I Grew Up (Ft. 21 Savage);1537529;G Herbo & Southside;https://genius.com/G-herbo-and-southside-how-i-grew-up-lyrics
2885821;How To Ball;How To Ball;430404;21 Savage;https://genius.com/21-savage-how-to-ball-lyrics
3842575;HUMBLE but Kendrick has a mental breakdown;HUMBLE but Kendrick has a mental breakdown (Ft. 21 Savage, 6ix9ine, Adolf Hitler & Kendrick Lamar);1147008;FlyingKitty;https://genius.com/Flyingkitty-humble-but-kendrick-has-a-mental-breakdown-lyrics
3137183;Hunnid on the Drop;Hunnid on the Drop;1165182;21 Savage & Montell2099;https://genius.com/21-savage-and-montell2099-hunnid-on-the-drop-lyrics
2916007;I Be On;I Be On (Ft. 21 Savage);1450;YG;https://genius.com/Yg-i-be-on-lyrics
3047081;I Can't Get Enough;I Can't Get Enough;430404;21 Savage;https://genius.com/21-savage-i-cant-get-enough-lyrics
3117588;Iced Out My Arms;Iced Out My Arms (Ft. 21 Savage, Future, Migos & T.I.);158;DJ Khaled;https://genius.com/Dj-khaled-iced-out-my-arms-lyrics
2835006;If I Wanted Too;If I Wanted Too (Ft. 21 Savage);988269;Yin Yang;https://genius.com/Yin-yang-if-i-wanted-too-lyrics
2980504;I Hope It Don't Jam;I Hope It Don't Jam (Ft. 21 Savage & Shy Glizzy);3261;Ralo;https://genius.com/Ralo-i-hope-it-dont-jam-lyrics
2843390;I'm A Savage;I'm A Savage (Ft. 21 Savage & Young Nudy);993648;21 Savage & Young Nudy;https://genius.com/21-savage-and-young-nudy-im-a-savage-lyrics
3140282;Iñaki;Iñaki;1112769;Etiriyana;https://genius.com/Etiriyana-inaki-lyrics
3650131;Ion Like;Ion Like (Ft. 21 Savage);10144;Trouble;https://genius.com/Trouble-ion-like-lyrics
2916012;Issa;Issa (Ft. Drake & Young Thug);430404;21 Savage;https://genius.com/21-savage-issa-lyrics
2460451;I Want Her;I Want Her (Ft. 21 Savage, Lil Duke, Shad da God, T.I. & Young Thug);344083;Bankroll Mafia;https://genius.com/Bankroll-mafia-i-want-her-lyrics
3878825;Jump Right;Jump Right;430404;21 Savage;https://genius.com/21-savage-jump-right-lyrics
2915226;King Zoo;King Zoo (Ft. 21 Savage);216609;Fetty Wap;https://genius.com/Fetty-wap-king-zoo-lyrics
3326101;Krippy Kush (Remix);Krippy Kush (Remix) (Ft. 21 Savage & Nicki Minaj);1296456;Rvssian, Farruko & Bad Bunny;https://genius.com/Rvssian-farruko-and-bad-bunny-krippy-kush-remix-lyrics
2841892;Lil Nigga;Lil Nigga (Ft. 21 Savage);991980;No Plug;https://genius.com/No-plug-lil-nigga-lyrics
2853599;Lil Uzi Vert, Lil Yachty, Kodak Black, 21 Savage & Denzel Curry's 2016 XXL Freshmen Interview;Lil Uzi Vert, Lil Yachty, Kodak Black, 21 Savage & Denzel Curry's 2016 XXL Freshmen Interview (Ft. 21 Savage, Denzel Curry, Kodak Black, Lil Uzi Vert & Lil Yachty);186576;XXL;https://genius.com/Xxl-lil-uzi-vert-lil-yachty-kodak-black-21-savage-and-denzel-currys-2016-xxl-freshmen-interview-annotated
2479704;Lit;Lit (Ft. 21 Savage, Juicy J & Young Dolph);14047;DJ Scream;https://genius.com/Dj-scream-lit-lyrics
2910465;Literally;Literally (Ft. 21 Savage);66722;Johnny Cinco;https://genius.com/Johnny-cinco-literally-lyrics
2935511;LITT_;LITT_ (Ft. 21 Savage);30574;Knxwledge;https://genius.com/Knxwledge-litt-lyrics
2383627;Lord Forgive Me;Lord Forgive Me;430404;21 Savage;https://genius.com/21-savage-lord-forgive-me-lyrics
2820867;Mad High;Mad High;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-mad-high-lyrics
3296799;Mad Stalkers;Mad Stalkers;1249916;21 Savage, Offset, & Metro Boomin;https://genius.com/21-savage-offset-and-metro-boomin-mad-stalkers-lyrics
3665060;Magna Carta;Magna Carta (Ft. Ibnome);16809;British Guy;https://genius.com/British-guy-magna-carta-lyrics
2399685;Migo Gang x Slaughter Gang Music;Migo Gang x Slaughter Gang Music (Ft. 21 Savage, ManMan Savage & Migos);65109;Rich The Kid;https://genius.com/Rich-the-kid-migo-gang-x-slaughter-gang-music-lyrics
2347425;Million Dollar Liq;Million Dollar Liq (Ft. ManMan Savage);430404;21 Savage;https://genius.com/21-savage-million-dollar-liq-lyrics
2904471;Millions;Millions;430404;21 Savage;https://genius.com/21-savage-millions-lyrics
2389361;Mind Yo Business;Mind Yo Business;430404;21 Savage;https://genius.com/21-savage-mind-yo-business-lyrics
2969415;Moncler;Moncler;430404;21 Savage;https://genius.com/21-savage-moncler-lyrics
3147485;Money Convo;Money Convo;430404;21 Savage;https://genius.com/21-savage-money-convo-lyrics
2946789;Money Shot (The Rarri);Money Shot (The Rarri) (Ft. 21 Savage);20503;Young Thug;https://genius.com/Young-thug-money-shot-the-rarri-lyrics
2385191;Motorcycle;Motorcycle (Ft. Dreezy);430404;21 Savage;https://genius.com/21-savage-motorcycle-lyrics
2900688;Murder (Remix);Murder (Remix) (Ft. 21 Savage);656173;YoungBoy Never Broke Again;https://genius.com/Youngboy-never-broke-again-murder-remix-lyrics
3296797;My Choppa Hate Niggas;My Choppa Hate Niggas;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-my-choppa-hate-niggas-lyrics
3876942;NC-17;NC-17 (Ft. 21 Savage);20185;Travis Scott;https://genius.com/Travis-scott-nc-17-lyrics
2495973;Neck Shine;Neck Shine (Ft. 21 Savage);610968;Lil Yachty;https://genius.com/Lil-yachty-neck-shine-lyrics
2841524;Need A Lighter;Need A Lighter (Ft. 21 Savage);32674;Lightshow;https://genius.com/Lightshow-need-a-lighter-lyrics
2928821;Never Had Shit;Never Had Shit (Ft. 21 Savage);585266;Lil Duke;https://genius.com/Lil-duke-never-had-shit-lyrics
3359067;Never Seen;Never Seen (Ft. 21 Savage);994553;Loso Loaded;https://genius.com/Loso-loaded-never-seen-lyrics
2899411;Nino Brown;Nino Brown;430404;21 Savage;https://genius.com/21-savage-nino-brown-lyrics
2820728;No Advance;No Advance;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-no-advance-lyrics
3208222;No Flag;No Flag (Ft. 21 Savage, Nicki Minaj & Offset);44575;London On Da Track;https://genius.com/London-on-da-track-no-flag-lyrics
2820812;No Heart;No Heart;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-no-heart-lyrics
3023250;No I.D;No I.D (Ft. 21 Savage);19139;Shy Glizzy;https://genius.com/Shy-glizzy-no-id-lyrics
2396348;No Peace;No Peace;430404;21 Savage;https://genius.com/21-savage-no-peace-lyrics
2853656;No Target;No Target;430404;21 Savage;https://genius.com/21-savage-no-target-lyrics
3147508;Nothin New;Nothin New;430404;21 Savage;https://genius.com/21-savage-nothin-new-lyrics
3647088;Now;Now (Ft. 21 Savage);20503;Young Thug;https://genius.com/Young-thug-now-lyrics
3147512;Numb;Numb;430404;21 Savage;https://genius.com/21-savage-numb-lyrics
2820849;Ocean Drive;Ocean Drive;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-ocean-drive-lyrics
2893059;Offended;Offended (Ft. 21 Savage & Young Thug);1319;Meek Mill;https://genius.com/Meek-mill-offended-lyrics
3878832;Off The Head;Off The Head;430404;21 Savage;https://genius.com/21-savage-off-the-head-lyrics
2429129;Oh Ok;Oh Ok;430404;21 Savage;https://genius.com/21-savage-oh-ok-lyrics
2280451;One Foot;One Foot;430404;21 Savage;https://genius.com/21-savage-one-foot-lyrics
2872166;Organized Crime;Organized Crime (Ft. Bullet);430404;21 Savage;https://genius.com/21-savage-organized-crime-lyrics
2849776;​outside;​outside (Ft. 21 Savage);20185;Travis Scott;https://genius.com/Travis-scott-outside-lyrics
3663306;Outstanding;Outstanding (Ft. 21 Savage);1017857;SahBabii;https://genius.com/Sahbabii-outstanding-lyrics
2333870;Out the Bowl;Out the Bowl (Ft. Key!);430404;21 Savage;https://genius.com/21-savage-out-the-bowl-lyrics
3550967;Oven (Bank Account Remix);Oven (Bank Account Remix);1404504;Lemonn;https://genius.com/Lemonn-oven-bank-account-remix-lyrics
2478247;Partments;Partments;430404;21 Savage;https://genius.com/21-savage-partments-lyrics
2886989;Pause;Pause;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-pause-lyrics
2267516;Peepin';Peepin' (Ft. 21 Savage & Playboi Carti);13;Gucci Mane;https://genius.com/Gucci-mane-peepin-lyrics
3742227;Phoney Nibbaz;Phoney Nibbaz (Ft. 21 Savage);459133;Raini Rodriguez;https://genius.com/Raini-rodriguez-phoney-nibbaz-lyrics
1900227;Picky;Picky;430404;21 Savage;https://genius.com/21-savage-picky-lyrics
2172978;Pimp;Pimp;430404;21 Savage;https://genius.com/21-savage-pimp-lyrics
2438274;Play With Me;Play With Me (Ft. 21 Savage);248458;PnB Rock;https://genius.com/Pnb-rock-play-with-me-lyrics
3152551;Problems;Problems (Ft. 21 Savage);8805;Casino;https://genius.com/Casino-problems-lyrics
3299821;Pull Up N Wreck;Pull Up N Wreck (Ft. 21 Savage);1251946;Big Sean & Metro Boomin;https://genius.com/Big-sean-and-metro-boomin-pull-up-n-wreck-lyrics
3277133;Push Up;Push Up (Ft. 21 Savage);1236548;Big 36oz;https://genius.com/Big-36oz-push-up-lyrics
3321494;Quit Copying;Quit Copying (Ft. DezzyD);1259527;ShawnyMoney;https://genius.com/Shawnymoney-quit-copying-lyrics
2822873;Racks In My Pocket;Racks In My Pocket;430404;21 Savage;https://genius.com/21-savage-racks-in-my-pocket-lyrics
2847109;Rapper Hoes;Rapper Hoes (Ft. 21 Savage, 44G & Yung Booke);995421;44G;https://genius.com/44g-rapper-hoes-lyrics
3296491;Rap Saved Me;Rap Saved Me (Ft. Quavo);1249916;21 Savage, Offset, & Metro Boomin;https://genius.com/21-savage-offset-and-metro-boomin-rap-saved-me-lyrics
2820839;Real Nigga;Real Nigga;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-real-nigga-lyrics
2280469;Red Opps;Red Opps;430404;21 Savage;https://genius.com/21-savage-red-opps-lyrics
2854685;Red Opps Remix;Red Opps Remix (Ft. 21 Savage);999853;Young Maddie aka YM;https://genius.com/Young-maddie-aka-ym-red-opps-remix-lyrics
2347020;Red Rag, Blue Rag;Red Rag, Blue Rag (Ft. Freaky D$MG & Yung Booke);430404;21 Savage;https://genius.com/21-savage-red-rag-blue-rag-lyrics
3525566;Remain;Remain;430404;21 Savage;https://genius.com/21-savage-remain-lyrics
2942139;​​rockstar;​​rockstar (Ft. 21 Savage);326362;Post Malone;https://genius.com/Post-malone-rockstar-lyrics
3356226;Rockstar;Rockstar (Ft. 21 Savage);1128758;Jay Scott;https://genius.com/Jay-scott-rockstar-lyrics
3354521;​​rockstar (Latin Remix);​​rockstar (Latin Remix) (Ft. Nicky Jam & Ozuna);326362;Post Malone;https://genius.com/Post-malone-rockstar-latin-remix-lyrics
3583117;Rover 2.0;Rover 2.0 (Ft. 21 Savage);1254513;BlocBoy JB;https://genius.com/Blocboy-jb-rover-20-lyrics
3296801;Run Up the Racks;Run Up the Racks;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-run-up-the-racks-lyrics
3764546;Safe Mode (Remix);Safe Mode (Remix) (Ft. 21 Savage & YFN Lucci);1416448;24Heavy;https://genius.com/24heavy-safe-mode-remix-lyrics
2968537;Sake That;Sake That (Ft. Lil Uzi Vert);430404;21 Savage;https://genius.com/21-savage-sake-that-lyrics
2971906;Same Game;Same Game (Ft. 21 Savage);1067095;Golde;https://genius.com/Golde-same-game-lyrics
2961144;Sauce Savage;Sauce Savage (Ft. 21 Savage & Sancho Saucy);461496;Sosamann;https://genius.com/Sosamann-sauce-savage-lyrics
2820742;Savage Mode;Savage Mode;980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-savage-mode-lyrics
2937552;Savage Mode 2 [Tracklist + Album Art];Savage Mode 2 [Tracklist + Album Art] (Ft. 21 Savage);980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-savage-mode-2-tracklist-album-art-lyrics
2820397;Savage Mode [Tracklist + Album Art];Savage Mode [Tracklist + Album Art];980465;21 Savage & Metro Boomin;https://genius.com/21-savage-and-metro-boomin-savage-mode-tracklist-album-art-annotated
3315823;ScreenShots;ScreenShots;1258799;Claire and Sydney;https://genius.com/Claire-and-sydney-screenshots-lyrics
2842214;Seeing Double;Seeing Double;430404;21 Savage;https://genius.com/21-savage-seeing-double-lyrics
2916454;Shooter2x;Shooter2x (Ft. 21 Savage);21964;Lil Durk;https://genius.com/Lil-durk-shooter2x-lyrics
3576832;Since When;Since When (Ft. 21 Savage);640658;Young Nudy;https://genius.com/Young-nudy-since-when-lyrics
2151305;Skrrt Skrrt;Skrrt Skrrt;430404;21 Savage;https://genius.com/21-savage-skrrt-skrrt-lyrics
2927162;Slaughter King [Tracklist + Album Art];Slaughter King [Tracklist + Album Art];430404;21 Savage;https://genius.com/21-savage-slaughter-king-tracklist-album-art-annotated
2345362;Slaughter Ya Daughter;Slaughter Ya Daughter (Ft. ​iLoveMakonnen & Key!);430404;21 Savage;https://genius.com/21-savage-slaughter-ya-daughter-lyrics
